name,base,baseLocal,childCount,children,documentation,kind
ActivityConveyanceAssociationType,nc:AssociationType,AssociationType,3,"[""Activity"", ""Conveyance"", ""ActivityConveyanceAssociationAugmentationPoint""]",A data type for an association between an activity and a conveyance.,complexContent-extension
ActivityDocumentAssociationType,nc:AssociationType,AssociationType,3,"[""Activity"", ""Document"", ""ActivityDocumentAssociationAugmentationPoint""]",A data type for an association between an activity and a document.,complexContent-extension
ActivityFacilityAssociationType,nc:AssociationType,AssociationType,3,"[""Activity"", ""Facility"", ""ActivityFacilityAssociationAugmentationPoint""]",A data type for an association between an activity and a facility.,complexContent-extension
ActivityItemAssociationType,nc:AssociationType,AssociationType,3,"[""Activity"", ""Item"", ""ActivityItemAssociationAugmentationPoint""]",A data type for an association between an activity and an item.,complexContent-extension
ActivityOrganizationAssociationType,nc:AssociationType,AssociationType,4,"[""Activity"", ""Organization"", ""ActivityInvolvementAbstract"", ""ActivityOrganizationAssociationAugmentationPoint""]",A data type for an association between an activity and an organization.,complexContent-extension
ActivityPersonAssociationType,nc:AssociationType,AssociationType,4,"[""Activity"", ""Person"", ""ActivityInvolvementAbstract"", ""ActivityPersonAssociationAugmentationPoint""]",A data type for an association between an activity and a person.,complexContent-extension
ActivityScheduleAssociationType,nc:AssociationType,AssociationType,3,"[""Activity"", ""ScheduleDay"", ""ActivityScheduleAssociationAugmentationPoint""]",A data type for an association between an activity and its schedule.,complexContent-extension
ActivitySiteAssociationType,nc:AssociationType,AssociationType,3,"[""Activity"", ""Site"", ""ActivitySiteAssociationAugmentationPoint""]",A data type for an association between an activity and a site.,complexContent-extension
ActivityType,structures:ObjectType,ObjectType,28,"[""ActivityIdentification"", ""ActivityActualDuration"", ""ActivityApprovedIndicator"", ""ActivityAssignedDate"", ""ActivityCapacityQuantity"", ""ActivityCategoryAbstract"", ""ActivityComment"", ""ActivityCompletedIndicator"", ""ActivityContactEntity"", ""ActivityDate"", ""ActivityDescriptionText"", ""ActivityDisposition"", ""ActivityDueDate"", ""ActivityEffectiveDate"", ""ActivityEstimatedDuration"", ""ActivityFrequencyText"", ""ActivityLocation"", ""ActivityName"", ""ActivityNarrative"", ""ActivityPrescribedDuration"", ""ActivityReasonAbstract"", ""ActivityReportedDate"", ""ActivityRequestedDate"", ""ActivityScheduledDate"", ""ActivitySequenceNumeric"", ""ActivityStatus"", ""ActivityVerifiedDate"", ""ActivityAugmentationPoint""]","A data type for a single or set of related actions, events, or process steps.",complexContent-extension
AddressCategoryCodeType,nc:AddressCategoryCodeSimpleType,AddressCategoryCodeSimpleType,0,[],A data type for a kind of address.,simpleContent-wrapper
AddressGridType,structures:ObjectType,ObjectType,3,"[""AddressGridID"", ""AddressGridText"", ""AddressGridAugmentationPoint""]",A data type for a location identified by a unit of a grid system overlaid on an area.,complexContent-extension
AddressType,structures:ObjectType,ObjectType,14,"[""AddressFullText"", ""AddressPrivateMailboxText"", ""AddressSecondaryUnitText"", ""AddressDeliveryPointAbstract"", ""AddressRecipientName"", ""AddressCityName"", ""AddressCountyAbstract"", ""AddressState"", ""AddressCountry"", ""AddressPostalCode"", ""AddressPostalExtensionCode"", ""AddressUrbanizationName"", ""AddressCategoryAbstract"", ""AddressAugmentationPoint""]",A data type for a geophysical location described by postal information.,complexContent-extension
