source,target,relation
ActivityConveyanceAssociationType,AssociationType,extends
ActivityConveyanceAssociationType,Activity,hasElement
ActivityConveyanceAssociationType,Conveyance,hasElement
ActivityConveyanceAssociationType,ActivityConveyanceAssociationAugmentationPoint,hasElement
ActivityDocumentAssociationType,AssociationType,extends
ActivityDocumentAssociationType,Activity,hasElement
ActivityDocumentAssociationType,Document,hasElement
ActivityDocumentAssociationType,ActivityDocumentAssociationAugmentationPoint,hasElement
ActivityFacilityAssociationType,AssociationType,extends
ActivityFacilityAssociationType,Activity,hasElement
ActivityFacilityAssociationType,Facility,hasElement
ActivityFacilityAssociationType,ActivityFacilityAssociationAugmentationPoint,hasElement
ActivityItemAssociationType,AssociationType,extends
ActivityItemAssociationType,Activity,hasElement
ActivityItemAssociationType,Item,hasElement
ActivityItemAssociationType,ActivityItemAssociationAugmentationPoint,hasElement
ActivityOrganizationAssociationType,AssociationType,extends
ActivityOrganizationAssociationType,Activity,hasElement
ActivityOrganizationAssociationType,Organization,hasElement
ActivityOrganizationAssociationType,ActivityInvolvementAbstract,hasElement
ActivityOrganizationAssociationType,ActivityOrganizationAssociationAugmentationPoint,hasElement
ActivityPersonAssociationType,AssociationType,extends
ActivityPersonAssociationType,Activity,hasElement
ActivityPersonAssociationType,Person,hasElement
ActivityPersonAssociationType,ActivityInvolvementAbstract,hasElement
ActivityPersonAssociationType,ActivityPersonAssociationAugmentationPoint,hasElement
ActivityScheduleAssociationType,AssociationType,extends
ActivityScheduleAssociationType,Activity,hasElement
ActivityScheduleAssociationType,ScheduleDay,hasElement
ActivityScheduleAssociationType,ActivityScheduleAssociationAugmentationPoint,hasElement
ActivitySiteAssociationType,AssociationType,extends
ActivitySiteAssociationType,Activity,hasElement
ActivitySiteAssociationType,Site,hasElement
ActivitySiteAssociationType,ActivitySiteAssociationAugmentationPoint,hasElement
ActivityType,ObjectType,extends
ActivityType,ActivityIdentification,hasElement
ActivityType,ActivityActualDuration,hasElement
ActivityType,ActivityApprovedIndicator,hasElement
ActivityType,ActivityAssignedDate,hasElement
ActivityType,ActivityCapacityQuantity,hasElement
ActivityType,ActivityCategoryAbstract,hasElement
ActivityType,ActivityComment,hasElement
ActivityType,ActivityCompletedIndicator,hasElement
ActivityType,ActivityContactEntity,hasElement
ActivityType,ActivityDate,hasElement
ActivityType,ActivityDescriptionText,hasElement
ActivityType,ActivityDisposition,hasElement
ActivityType,ActivityDueDate,hasElement
ActivityType,ActivityEffectiveDate,hasElement
ActivityType,ActivityEstimatedDuration,hasElement
ActivityType,ActivityFrequencyText,hasElement
ActivityType,ActivityLocation,hasElement
ActivityType,ActivityName,hasElement
ActivityType,ActivityNarrative,hasElement
ActivityType,ActivityPrescribedDuration,hasElement
ActivityType,ActivityReasonAbstract,hasElement
ActivityType,ActivityReportedDate,hasElement
ActivityType,ActivityRequestedDate,hasElement
ActivityType,ActivityScheduledDate,hasElement
ActivityType,ActivitySequenceNumeric,hasElement
ActivityType,ActivityStatus,hasElement
ActivityType,ActivityVerifiedDate,hasElement
ActivityType,ActivityAugmentationPoint,hasElement
AddressCategoryCodeType,AddressCategoryCodeSimpleType,extends
AddressGridType,ObjectType,extends
AddressGridType,AddressGridID,hasElement
AddressGridType,AddressGridText,hasElement
AddressGridType,AddressGridAugmentationPoint,hasElement
AddressType,ObjectType,extends
AddressType,AddressFullText,hasElement
AddressType,AddressPrivateMailboxText,hasElement
AddressType,AddressSecondaryUnitText,hasElement
AddressType,AddressDeliveryPointAbstract,hasElement
AddressType,AddressRecipientName,hasElement
AddressType,AddressCityName,hasElement
AddressType,AddressCountyAbstract,hasElement
AddressType,AddressState,hasElement
AddressType,AddressCountry,hasElement
AddressType,AddressPostalCode,hasElement
AddressType,AddressPostalExtensionCode,hasElement
AddressType,AddressUrbanizationName,hasElement
AddressType,AddressCategoryAbstract,hasElement
AddressType,AddressAugmentationPoint,hasElement
