name,type,typeLocal,ref,substitutionGroup,substitutionGroupLocal,abstract,nillable,documentation
AcquaintanceAssociation,nc:PersonAssociationType,PersonAssociationType,,,,False,True,An association between people who recognize each other but do not know each other very well.
Activity,nc:ActivityType,ActivityType,,,,False,True,"A single or set of related actions, events, or process steps."
ActivityActualDuration,niem-xs:duration,duration,,,,False,True,An actual duration of an activity.
ActivityAdministratorOrganizationAssociation,nc:ActivityOrganizationAssociationType,ActivityOrganizationAssociationType,,,,False,True,An association between an activity and an organization which administers it.
ActivityAdministratorPersonAssociation,nc:ActivityPersonAssociationType,ActivityPersonAssociationType,,,,False,True,An association between an activity and a person who administers it.
ActivityApprovedIndicator,niem-xs:boolean,boolean,,,,False,True,True if the activity request was approved; false otherwise.
ActivityAssignedDate,nc:DateType,DateType,,,,False,True,A date on which an activity was assigned.
ActivityAugmentationPoint,,,,,,True,False,An augmentation point for ActivityType.
ActivityBillRecipientOrganizationAssociation,nc:ActivityOrganizationAssociationType,ActivityOrganizationAssociationType,,,,False,True,An association between an activity and an organization which receives a bill for the activity.
ActivityBillRecipientPersonAssociation,nc:ActivityPersonAssociationType,ActivityPersonAssociationType,,,,False,True,An association between an activity and a person who receives a bill for the activity.
ActivityCapacityQuantity,nc:QuantityType,QuantityType,,,,False,True,A number for the specified maximum enrollment capacity of an activity.
ActivityCategoryAbstract,,,,,,True,False,A data concept for a kind of activity.
ActivityCategoryText,nc:TextType,TextType,,nc:ActivityCategoryAbstract,ActivityCategoryAbstract,False,True,A kind of activity.
ActivityComment,nc:CommentType,CommentType,,,,False,True,A comment about the activity.
ActivityCompletedIndicator,niem-xs:boolean,boolean,,,,False,True,True if an activity has ended; false otherwise.
ActivityContactEntity,nc:EntityType,EntityType,,,,False,True,A person or organization to contact for additional information about an activity.
ActivityConveyanceAssociation,nc:ActivityConveyanceAssociationType,ActivityConveyanceAssociationType,,,,False,True,An association between an activity and a conveyance.
ActivityConveyanceAssociationAugmentationPoint,,,,,,True,False,An augmentation point for ActivityConveyanceAssociationType.
ActivityDate,nc:DateType,DateType,,,,False,True,A date of an activity.
ActivityDescriptionText,nc:TextType,TextType,,,,False,True,A description of an activity.
